Product Code,Category,Size,Bottle,Cap, Price in Php ,FILENAME USED
PT 592,PET Bottles,250ml,Boston with Collar,Aluminum Fake Cap,10.64,250ml-Boston with Collar-+-Aluminum Fake Cap
PT 596,PET Bottles,250ml,Boston with Collar,Fireman Spray,16.8,250ml-Boston with Collar-+-Fireman Spray
PT 597,PET Bottles,250ml,Boston with Collar,Lotion Pump Flat,16.8,250ml-Boston with Collar-+-Lotion Pump Flat
PT 598,PET Bottles,250ml,Boston with Collar,Lotion Pump Twist,16.8,250ml-Boston with Collar-+-Lotion Pump Twist
PT 599,PET Bottles,250ml,Boston with Collar,Mushroom Fliptop Cap,11.2,250ml-Boston with Collar-+-Mushroom Fliptop Cap
PT 600,PET Bottles,250ml,Boston with Collar,Mushroom Screw Cap,11.2,250ml-Boston with Collar-+-Mushroom Screw Cap
PT 602,PET Bottles,250ml,Boston with Collar,Pump Spray,14.56,250ml-Boston with Collar-+-Pump Spray
PT 605,PET Bottles,250ml,Boston with Collar,Trigger Spray,24.64,250ml-Boston with Collar-+-Trigger Spray
PT 606,PET Bottles,250ml,Boston with Collar,Z Fliptop Cap,12.32,250ml-Boston with Collar-+-Z Fliptop Cap
