"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_cap","attribute_data:pa_cap","attribute_default:pa_cap","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size","attribute:pa_size-ml","attribute_data:pa_size-ml","attribute_default:pa_size-ml"
"Tubular Frosted","tubular-frosted","25443","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/80-Tubular-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","50ml|60ml|80ml","0|1|1",""
"Round YL","round-yl","25458","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Gel Pump|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","60ml","0|1|1",""
"Round YL Frosted","round-yl-frosted","25465","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/100-Round-YL-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/100-Round-YL-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","100ml|60ml","0|1|1",""
"Tubular","tubular","25475","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/85-Tubular-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/85-Tubular-+-Pump-Spray-Fancy-Silver-Shiny.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Pump Spray|Pump Spray Fancy Silver Shiny","1|1|1","","","","","50ml|85ml","0|1|1",""
"Hugo","hugo","25479","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-Hugo-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Hugo-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Hugo-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Hugo-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Hugo-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Hugo-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Hugo-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","60ml","0|1|1",""
"Clean","clean","25487","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Clean-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Clean-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Clean-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-+-Pump-Spray-Fancy-Gold.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Clean-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Clean-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Gold|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","30ml|60ml","0|1|1",""
"Tubular Slim","tubular-slim","25501","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Tubular-Slim-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Tubular-Slim-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Tubular-Slim-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Tubular-Slim-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Tubular-Slim-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Tubular-Slim-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Tubular-Slim-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","30ml","0|1|1",""
"Gift","gift","25509","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Gift-+-Cap.jpg","variable","glass bottles","","","","Cap","1|1|1","","","","","30ml","0|1|1",""
"Star","star","25511","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Star-+-Cap.jpg","variable","glass bottles","","","","Cap","1|1|1","","","","","30ml","0|1|1",""
"Menstock","menstock","25513","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/50-Menstock-+-Cap.jpg","variable","glass bottles","","","","Cap","1|1|1","","","","","50ml","0|1|1",""
"William Frosted","william-frosted","25515","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-William-Frosted-+-Cap-Green.jpg","variable","glass bottles","","","","Cap (Green)","1|1|1","","","","","60ml","0|1|1",""
"Very Sexy Frosted","very-sexy-frosted","25517","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/50-Very-Sexy-Frosted-+-Crimp.jpg","variable","glass bottles","","","","Crimp","1|1|1","","","","","50ml","0|1|1",""
