"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_cap","attribute_data:pa_cap","attribute_default:pa_cap","attribute:pa_fragrance-type","attribute_data:pa_fragrance-type","attribute_default:pa_fragrance-type","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size","attribute:pa_size-g","attribute_data:pa_size-g","attribute_default:pa_size-g","attribute:pa_size-ml","attribute_data:pa_size-ml","attribute_default:pa_size-ml"
"1Ltr Denatured","1ltr-denatured-3","1008","","Denatured","publish","0","2013-07-25 02:43:08","0","open","CP 034","no","no","visible","","instock","no","no","134.4","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Ltr-Denatured.jpg","simple","compounds","","","","","","","","","","1Ltr","0|1|0","","","","","","",""
"1Gal Denatured","1gal-denatured-3","1010","","Denatured","publish","0","2013-07-25 02:43:08","0","open","CP 055","no","no","visible","","instock","no","no","421.12","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Gal-Denatured.jpg","simple","compounds","","","","","","","","","","1Gal","0|1|0","","","","","","",""
"3.75Kg Deodorant","3-75kg-deodorant-3","1012","","Deodorant","publish","0","2013-07-25 02:43:08","0","open","CP 036","no","no","visible","","instock","no","no","903","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/3.75Kg-Deodorant.jpg","simple","compounds","","","","","","","","","","3.75kg","0|1|0","","","","","","",""
"1Kg Deodorant","1kg-deodorant-3","1014","","Deodorant","publish","0","2013-07-25 02:43:08","0","open","CP 036 1Kg","no","no","visible","","instock","no","no","257.6","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Kg-Deodorant.jpg","simple","compounds","","","","","","","","","","1kg","0|1|0","","","","","","",""
"1gal Deodorized","1gal-deodorized-3","1016","","Deodorized","publish","0","2013-07-25 02:43:08","0","open","CP 029","no","no","visible","","instock","no","no","504","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1gal-Deodorized.jpg","simple","compounds","","","","","","","","","","1Gal","0|1|0","","","","","","",""
"1Ltr Deodorized","1ltr-deodorized-3","1018","","Deodorized","publish","0","2013-07-25 02:43:08","0","open","CP 030","no","no","visible","","instock","no","no","179.2","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Ltr-Deodorized.jpg","simple","compounds","","","","","","","","","","1Ltr","0|1|0","","","","","","",""
"125g Deofix (Liquid Fixative)","125g-deofix-liquid-fixative-3","1020","","Deofix (Liquid Fixative)","publish","0","2013-07-25 02:43:08","0","open","CP 059 125g","no","no","visible","","instock","no","no","545.64","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/125g-Deofix-Liquid-Fixative.jpg","simple","compounds","","","","","","","","","","125g","0|1|0","","","","","","",""
"250g Deofix (Liquid Fixative)","250g-deofix-liquid-fixative-3","1022","","Deofix (Liquid Fixative)","publish","0","2013-07-25 02:43:08","0","open","CP 059 250g","no","no","visible","","instock","no","no","1007.33","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/250g-Deofix-Liquid-Fixative.jpg","simple","compounds","","","","","","","","","","250g","0|1|0","","","","","","",""
"30g Deofix (Liquid Fixative)","30g-deofix-liquid-fixative-3","1024","","Deofix (Liquid Fixative)","publish","0","2013-07-25 02:43:08","0","open","CP 059 30g","no","no","visible","","instock","no","no","168","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/30g-Deofix-Liquid-Fixative.jpg","simple","compounds","","","","","","","","","","30g","0|1|0","","","","","","",""
"500g Deofix (Liquid Fixative)","500g-deofix-liquid-fixative-3","1026","","Deofix (Liquid Fixative)","publish","0","2013-07-25 02:43:08","0","open","CP 062 500g","no","no","visible","","instock","no","no","1678.88","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/500g-Deofix-Liquid-Fixative.jpg","simple","compounds","","","","","","","","","","500g","0|1|0","","","","","","",""
