"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:pa_cap","attribute_data:pa_cap","attribute_default:pa_cap","attribute:pa_size-ml","attribute_data:pa_size-ml","attribute_default:pa_size-ml"
"Menstock","menstock","157","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/50-Menstock-+-Cap.jpg","variable","Glass Bottles","","","Cap","1|1|1","","50ml","0|1|1",""
"William Frosted","william-frosted","159","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-William-Frosted-+-Cap-Green.jpg","variable","Glass Bottles","","","Cap (Green)","1|1|1","","60ml","0|1|1",""
"Very Sexy Frosted","very-sexy-frosted","161","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/50-Very-Sexy-Frosted-+-Crimp.jpg","variable","Glass Bottles","","","Crimp","1|1|1","","50ml","0|1|1",""
"Round","round","163","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/5-Round-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/15-Round-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Shroud","1|1|1","","10ml|12ml|15ml|5ml","0|1|1",""
"Test Tube Frosted","test-tube-frosted","174","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Test-Tube-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Test-Tube-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Test-Tube-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Test-Tube-Frosted.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Test-Tube-Frosted-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Shroud","1|1|1","","30ml","0|1|1",""
"Crib Frosted","crib-frosted","180","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Crib-Frosted-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","30ml","0|1|1",""
"Cylindrical","cylindrical","187","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cylindrical-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","30ml","0|1|1",""
"Teardrop Frosted","teardrop-frosted","194","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/70-Teardrop-Frosted-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","70ml","0|1|1",""
"Volcano Frosted","volcano-frosted","201","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Volcano-Frosted-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","30ml","0|1|1",""
"Round Roll-on","round-roll-on","208","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-+-Gold-Cap-Sale.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-+-Gold-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-+-Plastic-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-+-Silver-Matte-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-+-Silver-Shiny-Cap.jpg","variable","Glass Bottles","","","Gold Cap|Gold Cap (Sale)|Plastic Cap|Silver Matte Cap|Silver Shiny Cap","1|1|1","","10ml","0|1|1",""
"Round Roll-on Frosted","round-roll-on-frosted","214","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-Frosted-+-Plastic-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-Frosted-+-Silver-Matte-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Roll-on-Frosted-+-Silver-Shiny-Cap.jpg","variable","Glass Bottles","","","Plastic Cap|Silver Matte Cap|Silver Shiny Cap","1|1|1","","10ml","0|1|1",""
